Produto;Categoria;Marca;Preço de venda
157 - SAL ROSA DO HIMALAIA EM PEDRAS;MOLHOS E TEMPEROS;HIMALAIA; R$135,00 
158 - Salsa Argentina - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
159 - BOMBOM 02 PECA/ SUPERIOR (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$76,09 
16 - FILÉ MIGNON INTERMEZZO;(todas);INTERMEZZO; R$83,86 
160 - SASHIMI KANTO PLUS INOX 27 CM DESTRO CABO DE ACRILICO;ACESSORIOS;ZAKHAROV; R$250,00 
161 - SHORT RIB (STEAK DUROC PORK) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$51,58 
162 - SHORT RIB PORCIONADO - LJ (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$61,79 
163 - SHOULDER (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$58,80 
164 - SHOULDER (DUROC PORK) - VPJ;SUINO/CORTES ESPECIAIS;VPJ; R$27,80 
165 - SHOULDER (R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$61,51 
166 - STEAK GRILL (0.3 R) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$64,31 
167 - ALCOOL LIQUIDO PEQUENO 92,8 INPM 500ML - FLOPS;ACENDEDOR;FLOPS; R$5,50 
168 - BARBECUE - CAFE- 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$15,80 
169 - T-BONE (550G BLACK ANGUS) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$108,88 
17 - BIFE ANCHO PORCIONADO PECA INTEIRA / ESPECIAL 3 A 3,5CM (1 K;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$67,20 
170 - T-BONE (STEAK 0.6-0.7 R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$75,47 
171 - Tempero Defumado ( Tempero Churrascador ) - 350 g;MOLHOS E TEMPEROS;CHEF'SBOSS; R$24,00 
172 - TEMPERO ESPECIAL MR. GALLO;MOLHOS E TEMPEROS;CANTAGALLO; R$17,40 
174 - TIBONE PORCIONADO SUPERIOR;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$69,59 
175 - TOP BRISKET (GRANITO R) (1 CAIXA);BOVINO/CORTES ESPECIAIS;VPJ; R$33,70 
176 - Mostarda Tropical - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
177 - MAMINHA;BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$58,80 
178 - TUTANO (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$22,36 
179 - Creme Agridoce - 160 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
18 - BIFE DE CHORIZO (0.3 R) VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$76,88 
180 - Farofa de Nacho ( Tempero Doraditas ) - 300 g;MOLHOS E TEMPEROS;CHEF'SBOSS; R$24,00 
181 - FLOR DE SAL NETAO;MOLHOS E TEMPEROS;CANTAGALLO; R$19,11 
182 - MOLHO CHIMICHURRI 200G;MOLHOS E TEMPEROS;CANTAGALLO; R$26,50 
183 - PICANHA AUS CONG BEEF CITY;BOVINO;BEEF CITY; R$58,37 
184 - TABUA DE CORTE RUSTICA;ACESSORIOS;COMPANHIA RUSTICA; R$360,00 
185 - COSTELA SUINA M.CONG.COOPAVEL CX +- 20KG;(todas);(todas); R$16,24 
186 - CHUCK STEAK;(todas);INTERMEZZO; R$55,86 
187 - ASSADO GAUCHO;(todas);INTERMEZZO; R$95,20 
188 - PORTERHOUSE;(todas);INTERMEZZO; R$79,80 
189 - MAMINHA;(todas);INTERMEZZO; R$58,80 
19 - BIFE DE CHORIZO PORCIONADO PECA INTEIRA / ESPECIAL 3 A 3,5CM (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$60,62 
190 - ASSADO GAUCHO;(todas);INTERMEZZO; R$95,20 
191 - FRALDINHA;(todas);INTERMEZZO; R$67,20 
192 - QUEIJO COALHO;(todas);QUATAR; R$48,01 
193 - PALETA DE CORDEIRO ;CORDEIRO;PALMEIRAS; R$44,66 
194 - COSTELA DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
195 - TIBONE DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
196 - CARRE DE CORDEIRO;CORDEIRO;PALMEIRAS; R$44,66 
199 - LINGUIÇA DE CORDEIRO ;CORDEIRO;VPJ; R$18,99 
2 - ALHO TEMPERADO EM CONSERVA;MOLHOS E TEMPEROS;CANTAGALLO; R$20,60 
20 - BIFE DE RIBEYE (0.3 R) - VPJ;BOVINO/CORTES ESPECIAIS;VPJ; R$96,74 
200 - BARBECUE MINEIRO ;MOLHOS E TEMPEROS;CHEF'SBOSS; R$25,00 
201 - PRIME RIB INTERMEZZO;BOVINO/CORTES ESPECIAIS;(todas); R$76,86 
202 - COSTELA DO TRASEIRO BOVINO;(todas);(todas); R$14,92 
21 - Barbecue Mineiro  - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
22 - Salsa Argentina - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
23 - BOMBOM PECA/ SUPERIOR 600/900 (1 KG);BOVINO/CORTES ESPECIAIS;INTERMEZZO; R$55,99 
24 - Masala Chutney - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
25 - Mostarda Tropical - 40 ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
